Time (Year),hfds
1851,-0.37836
1852,0.02105
1853,0.42466000000000004
1854,0.22135
1855,0.046439999999999995
1856,0.40691
1857,0.20012
1858,0.77251
1859,0.53881
1860,0.12696
1861,-0.5173300000000001
1862,0.8045899999999999
1863,1.09312
1864,0.6280100000000001
1865,-0.6178600000000001
1866,0.36264
1867,1.2156
1868,0.25689
1869,0.9778600000000001
1870,0.9800399999999999
1871,0.3921
1872,-0.9710700000000001
1873,1.3191700000000002
1874,1.19824
1875,0.79377
1876,0.48762
1877,0.59828
1878,0.94583
1879,1.34179
1880,1.2892700000000001
1881,0.78509
1882,0.49973999999999996
1883,0.7188
1884,1.49949
1885,1.2900200000000002
1886,1.07364
1887,0.62511
1888,1.27514
1889,1.47406
1890,0.20635
1891,0.6772600000000001
1892,1.2389700000000001
1893,1.61699
1894,1.7363
1895,0.86945
1896,0.27262
1897,1.16083
1898,2.0108099999999998
1899,1.7309299999999999
1900,1.3044
1901,0.96735
1902,0.59046
1903,1.6430799999999999
1904,1.7685400000000002
1905,1.58807
1906,0.9479
1907,-0.036719999999999996
1908,1.02613
1909,1.55989
1910,1.42022
1911,0.9743200000000001
1912,0.37119
1913,0.14543
1914,1.18347
1915,1.4501700000000002
1916,0.6944899999999999
1917,0.89471
1918,0.60564
1919,0.52859
1920,0.82934
1921,0.52753
1922,0.9288700000000001
1923,0.39421
1924,0.90117
1925,1.04157
1926,1.1395
1927,1.03729
1928,0.1463
1929,0.68829
1930,1.60465
1931,0.9835200000000001
1932,0.55704
1933,0.34076999999999996
1934,0.99461
1935,1.31308
1936,1.02755
1937,0.01586
1938,0.19361
1939,0.90899
1940,1.61246
1941,1.15701
1942,0.84444
1943,0.59316
1944,0.14683
1945,0.47315
1946,0.42055
1947,1.01073
1948,0.64971
1949,0.71828
1950,0.05585
1951,0.5341199999999999
1952,1.32707
1953,0.43996999999999997
1954,0.70107
1955,0.57898
1956,-0.23233
1957,0.65287
1958,0.81304
1959,1.1768299999999998
1960,0.8558600000000001
1961,0.28908
1962,-0.033030000000000004
1963,0.81939
1964,0.8408399999999999
1965,0.69092
1966,0.73943
1967,0.28121
1968,0.9696100000000001
1969,-0.19088
1970,0.60659
1971,0.48612
1972,0.49951
1973,0.3808
1974,0.7438
1975,0.20745
1976,0.49983999999999995
1977,-0.15305
1978,0.7608
1979,1.3217700000000001
1980,0.45718000000000003
1981,0.77815
1982,0.48941999999999997
1983,0.46579
1984,0.63149
1985,0.10667
1986,0.34014
1987,0.99303
1988,0.9433299999999999
1989,0.55201
1990,0.55702
1991,0.3982
1992,-0.5352600000000001
1993,0.6873100000000001
1994,0.9953799999999999
1995,0.62542
1996,0.8957
1997,-0.51694
1998,0.70367
1999,1.00899
2000,0.8728600000000001
2001,0.3426
2002,0.70357
2003,0.38616999999999996
2004,0.8926
2005,0.18663
2006,-0.40094
2007,0.98316
2008,0.91322
2009,1.14125
2010,0.75457
2011,0.36773
2012,0.12764
2013,0.14420999999999998
2014,-0.00735
2015,0.97135
2016,1.0641399999999999
2017,0.84904
2018,0.3308
2019,0.49768
2020,0.58615
2021,0.762
2022,0.62403
2023,0.73092
2024,0.5303
2025,0.081
2026,-0.34691
2027,1.23686
2028,1.2724
2029,0.32227
2030,-0.53585
2031,1.07159
2032,0.5918800000000001
2033,0.26021
2034,0.37439
2035,0.28433
2036,0.55842
2037,-0.42499
2038,0.88844
2039,0.48136999999999996
2040,0.10717
2041,-0.76063
2042,0.16573
2043,1.13027
2044,0.77366
2045,-0.10112
2046,0.05264
2047,-0.41173000000000004
2048,1.19976
2049,0.5587300000000001
2050,0.7417199999999999
2051,0.01703
2052,-0.48598
2053,0.49277
2054,0.81018
2055,0.39834
2056,0.35877
2057,0.52075
2058,0.27847
2059,0.1223
2060,0.23553000000000002
2061,0.89589
2062,0.36676
2063,0.79819
2064,-0.07706
2065,-0.23121999999999998
2066,1.21415
2067,0.7302
2068,0.79596
2069,0.25038
2070,-0.41936999999999997
2071,-0.06192
2072,0.8245100000000001
2073,1.35407
2074,1.10309
2075,0.27189
2076,-0.12174000000000001
2077,0.5150899999999999
2078,1.15591
2079,0.54309
2080,0.08822999999999999
2081,-0.10207999999999999
2082,0.8784799999999999
2083,0.9564299999999999
2084,0.55557
2085,-0.26759
2086,-0.63985
2087,0.9164100000000001
2088,0.74362
2089,0.49088999999999994
2090,0.08603999999999999
2091,-0.4406
2092,0.42313999999999996
2093,0.34212
2094,0.1811
2095,-0.14349
2096,1.13905
2097,0.9138299999999999
2098,0.2392
2099,0.40807
2100,0.9600799999999999
2101,-0.46766
2102,0.11087000000000001
2103,0.14359
2104,0.88285
2105,0.23006
2106,0.4919
2107,-0.26489
2108,-0.11395999999999999
2109,0.8327100000000001
2110,0.55921
2111,0.7013
2112,-0.12694
2113,0.1142
2114,0.45398999999999995
2115,0.35457
2116,0.5724600000000001
2117,0.30096999999999996
2118,0.46042
2119,0.0799
2120,-0.54966
2121,0.63271
2122,1.16805
2123,1.06045
2124,0.57135
2125,-0.6169100000000001
2126,0.60532
2127,0.9839700000000001
2128,0.50048
2129,0.44728999999999997
2130,0.18572
2131,-0.49086
2132,0.70302
2133,1.3041200000000002
2134,0.26924000000000003
2135,0.14520999999999998
2136,-0.68614
2137,0.46975
2138,0.7044699999999999
2139,0.49951
2140,0.14854
2141,-0.7438600000000001
2142,0.54681
2143,0.98174
2144,0.57333
2145,-0.06141
2146,-0.03442
2147,0.75092
2148,0.50846
2149,0.24279
2150,0.32295999999999997
2151,-0.52965
2152,0.044
2153,1.33681
2154,0.57526
2155,-0.4943
2156,-0.33875
2157,0.8207399999999999
2158,0.81512
2159,0.59429
2160,-0.16166
