year,npp
1851.0,62.2531800549
1852.0,62.030610601999996
1853.0,61.8333816617
1854.0,63.1296473058
1855.0,63.07246474270001
1856.0,61.3657181067
1857.0,61.208782831
1858.0,63.6122281554
1859.0,62.4225524013
1860.0,62.816831954099996
1861.0,60.8510684338
1862.0,61.907866327700006
1863.0,65.3862868346
1864.0,64.17908392310001
1865.0,61.9833024258
1866.0,65.4886111668
1867.0,66.5191006568
1868.0,67.6515757901
1869.0,64.1614685955
1870.0,64.3677255037
1871.0,66.7154879468
1872.0,66.7436421476
1873.0,66.1804570327
1874.0,65.9118473604
1875.0,69.0121418533
1876.0,68.97385941510001
1877.0,68.88442598510001
1878.0,68.0116134229
1879.0,67.435238453
1880.0,69.1237050845
1881.0,68.63193233189999
1882.0,69.1244566105
1883.0,69.9646858385
1884.0,73.350061245
1885.0,70.166480878
1886.0,68.86859616939999
1887.0,71.4760370487
1888.0,71.18619157239999
1889.0,73.458399155
1890.0,70.797250744
1891.0,73.7629732744
1892.0,74.39836801130001
1893.0,72.15673094649999
1894.0,70.0457082742
1895.0,71.0383421047
1896.0,70.9187327941
1897.0,72.331470865
1898.0,74.9120558592
1899.0,74.4357845812
1900.0,73.9776022539
1901.0,73.9923059274
1902.0,75.1486282322
1903.0,74.2211152179
1904.0,73.4611237814
1905.0,77.272629864
1906.0,76.32610704560001
1907.0,76.5968414693
1908.0,77.5402912886
1909.0,76.317337004
1910.0,77.5987959733
1911.0,79.2898230563
1912.0,79.1087968706
1913.0,78.7211560696
1914.0,76.1921176347
1915.0,77.18696893
1916.0,78.649107941
1917.0,80.1667711811
1918.0,76.3125919093
1919.0,76.77612408270001
1920.0,83.2956965413
1921.0,81.2188942329
1922.0,81.2895771116
1923.0,78.9184315505
1924.0,79.3248386501
1925.0,78.79835866
1926.0,81.2851319209
1927.0,83.1342637771
1928.0,79.8979397896
1929.0,77.78411067180001
1930.0,86.79312982190001
1931.0,85.8634104503
1932.0,83.763056041
1933.0,84.2207243774
1934.0,85.516659793
1935.0,85.6683282051
1936.0,84.166930279
1937.0,84.4429239396
1938.0,85.4254949971
1939.0,85.33198568430001
1940.0,85.2609147148
1941.0,84.9670543105
1942.0,88.76966378979999
1943.0,86.08924830059999
1944.0,86.2317518694
1945.0,84.7636786321
1946.0,88.77239197680001
1947.0,89.2367774076
1948.0,86.60699390319999
1949.0,86.66653589090001
1950.0,85.1629657929
1951.0,89.2028137975
1952.0,90.19303254180001
1953.0,88.4862083156
1954.0,90.9259898639
1955.0,92.94101008450001
1956.0,87.6358963698
1957.0,87.4036091209
1958.0,87.9015593858
1959.0,93.229933359
1960.0,88.8101794961
1961.0,89.87695882610001
1962.0,92.8619277641
1963.0,88.9532324135
1964.0,91.37387978940001
1965.0,88.20194448379999
1966.0,89.39628722219999
1967.0,89.69777143559999
1968.0,89.5828023747
1969.0,89.9730882617
1970.0,89.6659869998
1971.0,90.2559642765
1972.0,90.3777271164
1973.0,89.5703031253
1974.0,90.7833937516
1975.0,88.1218920682
1976.0,88.2804831957
1977.0,86.28164377629999
1978.0,90.5815083934
1979.0,89.605238738
1980.0,84.2201970695
1981.0,89.0488558369
1982.0,93.6481346425
1983.0,88.5980349205
1984.0,88.9894133219
1985.0,88.3781019959
1986.0,89.6874863706
1987.0,89.2575639452
1988.0,88.54703215
1989.0,88.02283094479999
1990.0,89.46261991799999
1991.0,91.57096542219999
1992.0,88.44304779040002
1993.0,89.2165891509
1994.0,86.6776578407
1995.0,89.58986550729999
1996.0,89.25508229180001
1997.0,87.8182993647
1998.0,86.09087791889999
1999.0,83.5951526696
2000.0,88.5010142185
2001.0,89.69047548629999
2002.0,88.205674885
2003.0,83.72579013720001
2004.0,87.7149289251
2005.0,89.3325185974
2006.0,88.8058425824
2007.0,85.2911865338
2008.0,88.0752505293
2009.0,85.8861900512
2010.0,88.5249446197
2011.0,88.6015804801
2012.0,87.8596097663
2013.0,86.1161744402
2014.0,86.397630915
2015.0,84.7874660918
2016.0,91.07231566760001
2017.0,87.6883876735
2018.0,87.0335376582
2019.0,85.4650791117
2020.0,86.2769458123
2021.0,86.4565027682
2022.0,89.4764585781
2023.0,89.53586955729999
2024.0,86.87168841450001
2025.0,91.1768121658
2026.0,87.6164735081
2027.0,87.23803024909999
2028.0,88.8206851159
2029.0,87.4588212449525
2030.0,88.48485536760992
2031.0,84.36487356920993
2032.0,86.79135641399903
2033.0,90.11112903930713
2034.0,86.59337348416899
2035.0,85.45139010980834
2036.0,88.34757479186933
2037.0,89.25370381347675
2038.0,86.25151348031736
2039.0,85.40137622193524
2040.0,87.0842792350473
2041.0,87.5182661478217
2042.0,89.17454596399564
2043.0,85.23869997033913
2044.0,86.59871112017272
2045.0,87.04940586987738
2046.0,88.01385954104109
2047.0,86.66977164403939
2048.0,88.33890518899716
2049.0,89.11106449893921
2050.0,85.02859110535489
2051.0,86.53662363594401
2052.0,88.25090931782637
2053.0,86.75833139868824
2054.0,87.62220707479071
2055.0,89.44589643459403
2056.0,88.70539428139301
2057.0,89.72707883455222
2058.0,86.1987804532048
2059.0,85.097633190724
2060.0,88.68076934870535
2061.0,84.30951506033645
